사고유형 대분류,사고유형 중분류,사고유형,노면상태,건수
주) 부상자수 = 중상자수 + 경상자수 + 부상신고자수,,,건조,0
주) 부상자수 = 중상자수 + 경상자수 + 부상신고자수,,,기타,0
주) 부상자수 = 중상자수 + 경상자수 + 부상신고자수,,,서리/결빙,0
주) 부상자수 = 중상자수 + 경상자수 + 부상신고자수,,,적설,0
주) 부상자수 = 중상자수 + 경상자수 + 부상신고자수,,,젖음/습기,0
주) 부상자수 = 중상자수 + 경상자수 + 부상신고자수,,,침수,0
주) 부상자수 = 중상자수 + 경상자수 + 부상신고자수,,,해빙,0
차대사람,기타,기타,건조,138723
차대사람,기타,기타,젖음/습기,10897
차대사람,기타,기타,기타,2445
차대사람,기타,기타,서리/결빙,379
차대사람,기타,기타,적설,318
차대사람,기타,기타,침수,12
차대사람,기타,기타,해빙,5
차대사람,길가장자리구역통행중,길가장자리구역통행중,건조,19144
차대사람,길가장자리구역통행중,길가장자리구역통행중,젖음/습기,1453
차대사람,길가장자리구역통행중,길가장자리구역통행중,기타,111
차대사람,길가장자리구역통행중,길가장자리구역통행중,서리/결빙,54
차대사람,길가장자리구역통행중,길가장자리구역통행중,적설,51
차대사람,길가장자리구역통행중,길가장자리구역통행중,침수,2
차대사람,길가장자리구역통행중,길가장자리구역통행중,해빙,0
차대사람,보도통행중,보도통행중,건조,21944
차대사람,보도통행중,보도통행중,젖음/습기,1778
차대사람,보도통행중,보도통행중,기타,331
차대사람,보도통행중,보도통행중,적설,47
차대사람,보도통행중,보도통행중,서리/결빙,39
차대사람,보도통행중,보도통행중,침수,0
차대사람,보도통행중,보도통행중,해빙,0
차대사람,차도통행중,차도통행중,건조,36023
차대사람,차도통행중,차도통행중,젖음/습기,3835
차대사람,차도통행중,차도통행중,기타,282
차대사람,차도통행중,차도통행중,적설,96
차대사람,차도통행중,차도통행중,서리/결빙,87
차대사람,차도통행중,차도통행중,침수,2
차대사람,차도통행중,차도통행중,해빙,2
차대사람,합계,합계,건조,333686
차대사람,합계,합계,젖음/습기,34739
차대사람,합계,합계,기타,4089
차대사람,합계,합계,서리/결빙,816
차대사람,합계,합계,적설,736
차대사람,합계,합계,침수,28
차대사람,합계,합계,해빙,13
차대사람,횡단중,횡단중,건조,117852
차대사람,횡단중,횡단중,젖음/습기,16776
차대사람,횡단중,횡단중,기타,920
차대사람,횡단중,횡단중,서리/결빙,257
차대사람,횡단중,횡단중,적설,224
차대사람,횡단중,횡단중,침수,12
차대사람,횡단중,횡단중,해빙,6
차대차,기타,기타,건조,485356
차대차,기타,기타,젖음/습기,45466
차대차,기타,기타,기타,8888
차대차,기타,기타,서리/결빙,2575
차대차,기타,기타,적설,1454
차대차,기타,기타,침수,88
차대차,기타,기타,해빙,49
차대차,추돌,추돌,건조,393288
차대차,추돌,추돌,젖음/습기,41563
차대차,추돌,추돌,기타,3957
차대차,추돌,추돌,서리/결빙,3247
차대차,추돌,추돌,적설,1772
차대차,추돌,추돌,침수,51
차대차,추돌,추돌,해빙,29
차대차,충돌,충돌,건조,915873
차대차,충돌,충돌,젖음/습기,80787
차대차,충돌,충돌,기타,6293
차대차,충돌,충돌,서리/결빙,3005
차대차,충돌,충돌,적설,2220
차대차,충돌,충돌,침수,120
차대차,충돌,충돌,해빙,49
차대차,합계,합계,건조,1794517
차대차,합계,합계,젖음/습기,167816
차대차,합계,합계,기타,19138
차대차,합계,합계,서리/결빙,8827
차대차,합계,합계,적설,5446
차대차,합계,합계,침수,259
차대차,합계,합계,해빙,127
차량단독,기타,기타,건조,34976
차량단독,기타,기타,젖음/습기,3190
차량단독,기타,기타,기타,790
차량단독,기타,기타,서리/결빙,319
차량단독,기타,기타,적설,110
차량단독,기타,기타,침수,6
차량단독,기타,기타,해빙,0
차량단독,도로이탈,도로이탈 기타,건조,1496
차량단독,도로이탈,도로이탈 기타,젖음/습기,289
차량단독,도로이탈,도로이탈 기타,서리/결빙,41
차량단독,도로이탈,도로이탈 기타,기타,23
차량단독,도로이탈,도로이탈 기타,적설,23
차량단독,도로이탈,도로이탈 기타,침수,2
차량단독,도로이탈,도로이탈 기타,해빙,0
차량단독,도로이탈,도로이탈 추락,건조,3493
차량단독,도로이탈,도로이탈 추락,젖음/습기,440
차량단독,도로이탈,도로이탈 추락,서리/결빙,79
차량단독,도로이탈,도로이탈 추락,기타,55
차량단독,도로이탈,도로이탈 추락,적설,22
차량단독,도로이탈,도로이탈 추락,침수,8
차량단독,도로이탈,도로이탈 추락,해빙,2
차량단독,도로이탈,합계,건조,4989
차량단독,도로이탈,합계,젖음/습기,729
차량단독,도로이탈,합계,서리/결빙,120
차량단독,도로이탈,합계,기타,78
차량단독,도로이탈,합계,적설,45
차량단독,도로이탈,합계,침수,10
차량단독,도로이탈,합계,해빙,2
차량단독,전도/전복,전도/전복,건조,9728
차량단독,전도/전복,전도/전복,젖음/습기,1471
차량단독,전도/전복,전도/전복,서리/결빙,196
차량단독,전도/전복,전도/전복,기타,195
차량단독,전도/전복,전도/전복,적설,53
차량단독,전도/전복,전도/전복,침수,5
차량단독,전도/전복,전도/전복,해빙,4
차량단독,충돌,충돌,건조,26423
차량단독,충돌,충돌,젖음/습기,5145
차량단독,충돌,충돌,서리/결빙,581
차량단독,충돌,충돌,적설,250
차량단독,충돌,충돌,기타,248
차량단독,충돌,충돌,침수,24
차량단독,충돌,충돌,해빙,2
차량단독,합계,합계,건조,76116
차량단독,합계,합계,젖음/습기,10535
차량단독,합계,합계,기타,1311
차량단독,합계,합계,서리/결빙,1216
차량단독,합계,합계,적설,458
차량단독,합계,합계,침수,45
차량단독,합계,합계,해빙,8
철길건널목,철길건널목,철길건널목,건조,29
철길건널목,철길건널목,철길건널목,기타,0
철길건널목,철길건널목,철길건널목,서리/결빙,0
철길건널목,철길건널목,철길건널목,적설,0
철길건널목,철길건널목,철길건널목,젖음/습기,0
철길건널목,철길건널목,철길건널목,침수,0
철길건널목,철길건널목,철길건널목,해빙,0
합계,합계,합계,건조,2204348
합계,합계,합계,젖음/습기,213090
합계,합계,합계,기타,24538
합계,합계,합계,서리/결빙,10859
합계,합계,합계,적설,6640
합계,합계,합계,침수,332
합계,합계,합계,해빙,148
